,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_29,spot_30
ATP2A2,4.165234269,0,1.978389099,3.817739948,6.682121269,2.980278146,3.139254663,0,6.623902482,0.952409493,1.838401715,1.978389099,0,0,3.139254663,2.980278146,2.922493386,0,1.920170311,3.270936841,1.084091671,5.270882591,2.713603287,0,3.66601278,5.117643761,2.922493386,0,4.107015481,1.957300085
ATP2A3,0,0,0,0,1.683015333,0.952413967,0,0,0,0,0.952413967,0,0,0,0,0,1.084091671,0,1.683015333,2.767107005,1.084091671,0,0,1.683015333,0,0.952413967,1.084091671,0,0.952413967,0
ATP2B1,4.523188815,4.736123846,9.683149547,5.244212678,8.235697744,5.972630127,6.184182097,7.168284021,9.210212837,7.647980409,2.790447043,9.318893669,7.357396794,2.674341879,7.194502842,4.47009151,1.084091671,7.314925516,3.333165548,3.771064558,8.371292987,6.656661262,7.839502269,2.790447043,4.310600628,2.930798591,6.332922319,3.931973918,4.05433811,9.849504887
ATP2B4,0,2.082868054,1.930916272,6.102406065,1.930916272,0,0.952409493,3.432719965,0,0.952409493,0,1.349851911,0,2.082868054,2.980832941,1.930916272,1.930916272,0,0,3.121573123,1.930916272,0,4.013784326,5.052489396,2.883325765,0.952409493,2.028423449,3.959339721,0,1.930916272
ATP2C1,3.748021504,1.629892482,1.301986261,1.926375502,0,5.347402937,5.539156458,2.446035243,3.24109234,1.791134954,2.446035243,0,3.556267984,1.791134954,1.926375502,3.421027435,0,1.926375502,1.449957386,0,3.093121215,3.915810757,1.449957386,2.446035243,3.895992629,2.446035243,2.446035243,0,1.449957386,4.881377565
ATP6AP1,2.18684517,5.147685106,0,5.198236649,1.655252754,8.376456701,3.139254663,1.349851911,1.920170311,2.607662247,1.641800555,3.005104665,5.171646987,0,5.81710069,3.626160671,4.717035659,1.453242721,4.712754747,2.18684517,1.655252754,4.107015481,3.359485813,0,4.311895305,6.005658525,1.567981129,3.449205797,6.973419344,2.892558222
ATP6AP2,3.28037536,3.738120808,3.28037536,4.782030585,3.633641852,6.189611531,5.44253101,4.420188571,7.026452317,3.026836014,4.410762044,3.633641852,1.453242721,4.420188571,5.162146498,1.439315501,1.520210854,1.453242721,4.6891318,3.477415459,7.246411358,4.000852569,5.442353867,1.957204605,4.731069073,4.991772914,1.520210854,6.76153476,3.561970866,6.440215707
ATP6V0A1,0,0,0,0.952409493,0,1.182474334,0.952409493,0,0,0.952409493,0,0,0,0,0.952409493,1.182474334,1.084091671,0,0,1.084091671,1.084091671,0,1.182474334,0,2.134883827,0.952409493,1.084091671,0,0,1.182474334
ATP6V0B,8.572190551,6.8662785,10.23520419,6.880329967,11.2386354,7.16345026,6.793096541,7.833660107,12.51814331,10.12406752,7.936445989,6.744529376,8.2180678,9.968581018,4.514902284,8.318608956,6.375700284,7.13324563,6.560469836,7.932967794,9.122485486,4.809538368,13.7659754,8.808898034,14.06137668,10.25100593,6.835863318,9.122474993,8.39987202,11.72957442
ATP6V0D1,2.542349923,0,0,3.598861492,0,0.952413967,1.640078425,1.349851911,1.449957386,1.640078425,0.952413967,1.349851911,1.793953043,0,3.598861492,2.542349923,1.958783068,0,3.408740454,0,0,1.449957386,1.449957386,0,3.090035811,7.093625383,0,1.793953043,4.361154421,0
ATP6V0E1,14.13574826,17.81150433,9.03022946,6.864295793,6.945263979,11.63951874,10.70961122,13.76101594,6.071642509,10.3074399,2.411044744,12.53116856,12.84119654,10.49226927,12.50517777,10.76347235,7.582220916,8.954278126,4.700953848,10.69577788,9.19891192,10.04212074,7.812280987,1.683015333,6.102239755,8.315083698,9.341817328,7.797398312,6.735610441,9.140051084
ATP6V1A,6.504794432,2.667359396,3.230940027,1.224603307,1.202427021,6.524824527,4.455661552,3.348140537,0,4.980140289,1.839310631,2.667359396,1.883208162,1.894505106,3.914257207,5.532219755,1.224603307,1.464932375,3.107811469,2.6896539,2.968434673,7.117565711,4.141573513,0,0.793432976,7.802700718,0,1.202427021,5.753567838,3.466634078
ATP6V1B2,2.18684517,3.400432491,3.990640668,2.677846028,1.935500116,9.085307934,4.373923967,6.728195794,2.525708293,3.830005222,2.327245593,6.476617113,3.73889405,3.620837817,7.310758908,3.369319504,2.308694978,7.090575517,1.224603307,7.983723931,3.019591787,5.07704499,2.647406709,0,3.708182627,7.465026782,3.271170468,4.221151446,5.738694071,5.69408927
ATP6V1C1,0,2.653894912,2.472411845,4.996392144,3.567854704,2.575009502,3.424821338,0,6.395179504,2.154836513,1.372582481,3.31200853,6.115268611,0,2.63096446,2.472411845,4.214114531,0,3.598725279,1.084091671,4.396100201,2.698866308,1.920170311,0,2.872579804,4.003546942,1.084091671,3.48807835,7.08088927,0.778695996
ATP6V1D,3.905284148,1.629892482,1.718438978,5.923875227,0,6.354652253,5.908216151,2.302579891,4.973556162,0.952409493,2.768961489,4.021018869,4.008041871,1.732019974,6.392281419,3.816737652,1.224603307,0,6.198159469,2.18684517,5.30687609,6.888574818,2.204594674,1.732019974,3.157004166,4.36385797,2.028423449,4.797384937,7.348063124,5.266096463
ATP6V1E1,4.301091873,6.876174355,2.874874704,7.310425205,2.999105612,4.262636088,7.879560905,0,4.973556162,3.409944699,4.60827212,1.971556899,5.658378696,3.799721296,5.961678934,2.423325457,7.918184693,2.44606771,10.44692511,5.191737603,7.291128455,4.670448044,4.424244818,0,10.06102237,6.781139024,3.361944664,6.77219698,7.694017171,6.953094426
ATP6V1F,8.663323614,4.268690804,1.978389099,9.761443648,12.559565,11.61947802,8.836543444,6.009800964,13.18910963,3.884437664,8.185000668,9.814898193,8.087626682,4.063653228,13.3852561,9.134568679,8.56459317,7.100745464,7.033828588,11.11518036,3.44921629,6.824314714,4.190671952,7.570824282,8.366004598,16.02011639,5.578512987,8.269893044,10.47081406,3.708719351
ATP6V1G1,11.46200461,10.47152116,4.702106176,16.8181772,7.052668229,11.50873515,13.38429354,16.28540117,13.17703111,7.220518371,10.87900565,9.860798288,14.24700313,14.25511728,10.7320077,7.648058678,5.519716999,18.1028977,8.895692356,11.37952777,6.181001509,12.45900577,10.5852802,12.92705014,9.037578237,18.47049051,12.86579393,9.893877225,13.33987365,9.33452072
ATP6V1H,3.946770001,2.373881558,1.572888443,1.37158326,1.572888443,0,1.37158326,0,0,5.318353261,0,0,0,1.572888443,3.745464818,2.373881558,0,0,0,0,0,1.163867109,0,0,2.944471703,1.37158326,0,0,2.373881558,1.163867109
ATP7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP8A1,0,2.190486118,0,0,0,2.190486118,0,0,0,2.190486118,2.190486118,2.190486118,0,0,0,0,2.190486118,0,2.190486118,0,0,0,0,0,0,0,0,0,2.190486118,0
ATP8B4,0,1.567981129,0,3.021223849,0,1.453242721,0,0,0,0,0,0,1.453242721,0,1.453242721,0,1.567981129,1.453242721,1.567981129,0,0,0,0,0,0,0,1.567981129,0,0,1.453242721
ATP9B,0,0,0,2.556952485,0,0,0,2.337320517,2.337320517,0,0,0,1.793953043,4.894273003,2.337320517,0,0,0,2.556952485,0,0,0,2.556952485,0,0,0,0,6.688226046,0,0
ATPAF2,2.6896539,0,0,0,0,3.483086876,2.6896539,0,0,0,0,0,0,0,2.6896539,3.483086876,0,0,0,2.6896539,0,2.6896539,0.793432976,0,0.793432976,2.6896539,0,0,2.6896539,0.793432976
ATR,2.525115998,0,0,0,0,0,2.187078796,2.187078796,0,0,0,0,2.525115998,1.732019974,0,0,0,0,0,4.712194795,0,0,0,1.732019974,0,0,4.712194795,0,1.732019974,0
ATRAID,6.133615171,5.807512222,3.804092087,0,2.775315464,4.182705166,2.18684517,2.231203644,1.449957386,5.149197021,2.421479713,3.433630665,0,3.994368156,4.560726728,5.354159704,0,4.652683356,1.449957386,2.18684517,1.202427021,3.636802556,4.474594006,0,3.816278805,2.18684517,0,1.202427021,8.432163827,0.793432976
ATRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084091671,0,0,1.084091671,1.084091671,0,0,0,0,0,1.084091671,0,0,0
ATRX,4.323903919,2.712091999,3.774398106,9.353251665,2.057983752,10.3497713,7.413780486,6.560045751,4.029751821,0.952409493,2.616132466,5.16359697,4.475160378,4.288972459,4.084207181,3.654886179,7.423536851,3.511226472,8.867769763,8.74178043,8.245469331,5.280140324,7.717580883,1.732019974,4.055054138,5.247096927,12.27292983,3.795878834,10.05645923,2.635717055
ATXN1,0,2.840140046,5.312551891,3.61434715,0,3.619258178,2.472411845,2.840140046,0,0,1.372582481,2.840140046,1.453242721,0,3.61434715,3.265844821,2.16110443,4.293382766,2.16110443,0,0,0.778695996,3.633573021,0,0.793432976,3.533686911,0,0,3.533686911,3.025371693
ATXN10,2.04938221,3.534335946,2.04938221,0,2.04938221,0,0,2.082868054,0,2.04938221,0,0,1.451467892,4.132250264,0,0,1.451467892,0,0,0,0,0,2.082868054,0,2.04938221,0,0,0,0,0
ATXN2,2.18684517,1.202427021,0,1.37158326,1.202427021,3.389272191,3.55842843,0,0,2.574010281,1.923929732,1.202427021,0,1.923929732,3.55842843,2.18684517,0,1.923929732,0,2.18684517,1.202427021,2.18684517,0,0,1.37158326,3.55842843,0,1.202427021,4.110774902,0
ATXN2L,0,2.183881936,1.930916272,1.224603307,1.930916272,1.182474334,2.183881936,0,0,0,0,0,1.793953043,0,1.224603307,3.113390607,3.15551958,0,1.224603307,0,1.930916272,0,3.113390607,1.930916272,3.113390607,1.224603307,0,3.724869315,1.224603307,3.113390607
ATXN3,0,1.629892482,0,0,0,1.629892482,0,0,0,0,0,0,1.629892482,1.732019974,0,1.629892482,0,0,0,0,0,0,0,1.732019974,0,0,0,0,1.732019974,0
ATXN7,1.301986261,5.159629732,1.301986261,2.052909086,1.655252754,1.655252754,1.301986261,1.349851911,0,1.655252754,0,3.005104665,1.451467892,0,0,0,3.504376978,0,2.052909086,0,2.957239015,1.301986261,0,0,0,0,2.052909086,1.655252754,0,0
ATXN7L3,1.978389099,0,1.978389099,0,1.978389099,0.793432976,0,0,0,0,0,1.978389099,0,0,0,0.793432976,0,0,0,0,0,0.778695996,0.793432976,0,0.793432976,1.978389099,0,0,0,1.572128972
ATXN7L3B,4.916231481,4.003774039,1.930916272,1.926375502,3.769317988,5.186708045,2.187078796,2.187078796,5.868153536,2.373881558,1.838401715,2.109581509,3.556267984,0,6.74632477,10.1074803,3.769317988,4.372443212,1.920170311,2.187078796,4.040497782,2.698866308,5.481526646,1.930916272,5.481526646,2.542349923,4.025480512,1.930916272,6.403633379,6.266427833
ATXN8OS,1.946147735,2.190486118,2.56185776,0,2.246520397,2.190486118,1.946147735,3.829355898,0,4.073694281,6.060563586,3.429412467,4.129728559,1.923929732,4.808378157,2.56185776,3.429412467,1.923929732,4.073694281,1.238926349,0,1.883208162,1.883208162,1.946147735,1.946147735,1.946147735,4.508005496,1.238926349,4.11441585,2.56185776
AUP1,5.851431884,1.567981129,1.718438978,5.463432907,0,4.352860627,5.085402398,3.829355898,1.920170311,5.189058527,3.318730217,1.718438978,4.236649034,0,4.36385797,2.980278146,2.792584436,0,6.595962909,2.18684517,0,9.594178385,6.950252322,4.299588608,5.612160515,7.682588187,5.867569736,0,6.70420127,4.397387717
AURKAIP1,1.301986261,4.374368055,3.863844022,1.957204605,1.838401715,2.983919094,3.485868198,1.349851911,6.239124027,2.190486118,8.243958368,5.649919539,0,1.923929732,2.56185776,3.355290736,4.028887834,4.215070534,2.190486118,1.957204605,3.411567771,2.080682258,0.793432976,4.248345406,0.793432976,0,4.400259476,0,6.22399736,4.133986733
AVL9,3.338896095,0,3.338896095,1.453242721,1.572888443,1.453242721,1.766007652,0,0,1.572888443,0,0,1.453242721,1.572888443,1.453242721,0,0,1.453242721,0,0,1.766007652,1.766007652,0,0,1.572888443,0,0,0,0,1.453242721
AZI2,2.04913288,5.312564017,2.231203644,2.028423449,0,2.423325457,2.187078796,6.144615151,1.972355909,0,1.972355909,3.957536355,3.081360373,1.726332711,2.028423449,6.444814245,1.451467892,3.957536355,0,2.187078796,1.972355909,4.477384616,3.02463662,1.972355909,0.793432976,3.775465591,4.215502245,2.028423449,0,1.572128972
AZIN1,5.807901755,5.980346092,3.232902534,8.095756248,8.058538735,2.154840987,4.200543489,1.946147735,2.365427684,2.154836513,2.898561702,1.202427021,0,2.226832853,0.952409493,1.930916272,7.041770249,0,4.777919072,2.559767758,6.995097312,1.301986261,4.490684031,3.877064008,9.616074111,6.410738953,4.497233954,5.693111051,0.952413967,4.157749125
B2M,46.02251431,45.0410379,44.20900432,45.78942227,46.75196075,44.23636144,44.92977275,46.4955338,46.1186011,45.18689297,43.13717985,45.96448847,44.91747547,44.52770539,44.33478109,44.89114708,44.04640661,43.65925011,46.09484148,46.14677221,45.4075148,44.05715063,45.27362688,45.47060738,43.84697518,46.5056305,45.58098612,45.77878545,44.33193433,43.41707234
B3GALT4,0,0,2.610294416,1.224603307,0,2.123350185,0,2.610294416,0,0,2.123350185,0,0,0,1.224603307,0,1.224603307,0,3.834897724,0,0,0,0,2.610294416,0,3.347953493,0,0,3.347953493,0
B3GAT3,0,2.406506292,0,1.678554968,0,3.199939268,0,0,1.449957386,0,0,0,2.406506292,0,1.678554968,3.199939268,2.762646639,0,3.128512354,1.084091671,1.084091671,2.228653383,2.243390362,0,2.243390362,1.678554968,1.084091671,0,3.128512354,1.572128972
B3GNT2,1.301986261,0,1.301986261,0,0,0,1.301986261,0,0,0,2.424774467,0,0,0,0,0,2.424774467,2.424774467,0,0,1.301986261,4.505456725,0,0,2.424774467,0,0,0,0,0.778695996
B3GNT5,0,1.629892482,0,0.952409493,0,3.421027435,2.743544446,0,1.791134954,2.743544446,0,0,1.629892482,1.791134954,0.952409493,3.421027435,0,0,0,0,1.791134954,0,0,0,0.952409493,0.952409493,0,0,0,1.791134954
B4GALT1,0,1.451467892,2.525708293,4.557339963,1.838401715,3.672222445,0.952409493,0,4.364110009,2.846914599,2.790815682,0,3.377843394,1.894505106,4.557339963,0.793432976,4.968424575,1.926375502,1.678554968,2.525708293,0,0,0.793432976,0,4.271550761,3.583378427,1.838401715,0,2.630968935,4.614313584
B4GALT3,0,1.464932375,1.464932375,2.365427684,2.365427684,2.584567929,1.791134954,2.814784286,4.156562637,1.791134954,0,2.814784286,0,1.791134954,0,2.584567929,0,1.464932375,0,0,1.791134954,1.163867109,2.258365351,0,0.793432976,0,0,0,0,3.748435039
B4GALT5,1.718438978,3.429259873,1.718438978,6.623117859,1.202427021,2.655669741,0,0,0,1.202427021,0,2.920865999,1.453242721,2.226832853,5.123913738,0,2.308694978,3.899310431,3.45143616,1.084091671,2.286518692,2.882306087,0,0,2.226832853,1.224603307,1.084091671,1.202427021,1.224603307,6.562381661
B9D2,1.718438978,1.629892482,1.718438978,1.718438978,2.176639297,1.629892482,0,0,0,0,0,1.718438978,1.629892482,0,0,1.629892482,1.084091671,0,2.176639297,3.260730968,1.084091671,2.497134975,0,2.176639297,0,0,1.084091671,0,0,2.497134975
BABAM1,0,0,0,1.453242721,2.47052439,3.199089663,0,2.337320517,2.337320517,1.894505106,2.876343699,0,1.453242721,6.155755355,3.790563238,0.793432976,1.084091671,3.377172453,2.47052439,3.554616061,1.084091671,0.778695996,0.793432976,2.47052439,0.793432976,0.952413967,1.084091671,2.337320517,2.876343699,4.919876799
BACH1,4.379178333,1.451467892,5.001805248,4.566756643,6.217580048,3.844972189,4.298900797,4.696343216,10.54777703,0.952409493,7.054312393,3.825948867,2.904710612,1.732019974,4.566756643,3.41167141,7.354055414,3.744383522,4.081274741,7.775280975,3.875437286,5.501467786,5.26256719,5.995516684,8.740684976,8.445106222,5.18489302,1.903081377,6.765708682,4.501499788
BAD,0,0,0,1.678554968,0,1.439315501,0,0,0,0,0,0,0,0,1.678554968,1.439315501,2.762646639,0,1.678554968,1.084091671,1.084091671,0.778695996,1.439315501,0,1.439315501,1.678554968,1.084091671,0,1.678554968,2.218011498
BAG1,4.028629983,0,4.028629983,1.224603307,3.732249185,0,4.23731968,2.187078796,1.449957386,0,0,1.978389099,1.753860087,0,2.978463394,0,1.224603307,0,2.674560693,2.187078796,2.050240884,3.50019827,1.449957386,0,1.449957386,3.202992406,2.187078796,0,2.674560693,0
BAG4,4.423014438,2.373881558,0,0,0,0.952413967,0,1.349851911,0,4.268386664,0.952413967,1.349851911,0,1.894505106,2.373881558,4.423014438,0,0,0,0,0,0.778695996,0,0,0,3.001546847,0,0,3.326295525,2.673201103
BAG5,4.260788902,1.567981129,1.718438978,5.65184779,4.423411435,2.851416728,0,2.057983752,2.365427684,0,0,1.718438978,0,0,0,3.335782899,1.567981129,2.057983752,1.567981129,0,0,3.77642273,2.851416728,0,0.793432976,2.542349923,3.62596488,0,0,2.511871954
BAG6,2.18684517,2.183881936,3.030976833,1.678554968,0,2.18684517,4.370727106,1.349851911,3.030976833,0,1.923929732,1.349851911,0,1.923929732,3.865400138,2.18684517,1.678554968,1.923929732,1.678554968,5.217822003,0,3.946979907,0,0,3.030976833,3.865400138,0,0,5.78932987,1.760134737
BAK1,0,0,0,1.957204605,0,0.793432976,0,1.349851911,0,0,0,2.58877826,0,0,0,0.793432976,1.238926349,0,0,3.196130954,0,0,0.793432976,1.957204605,0.793432976,0,0,1.238926349,0,0.793432976
BANF1,1.301986261,2.832319502,1.301986261,1.224603307,2.956287107,3.784733469,1.301986261,0,1.449957386,1.202427021,0.952413967,1.202427021,3.383752568,0,2.978463394,1.629892482,2.308694978,0,2.674560693,1.084091671,3.588504953,2.751943647,1.449957386,0,1.449957386,2.177017274,1.084091671,1.202427021,3.62697466,0
BANK1,3.021917658,2.183881936,3.111985656,0,0,0,2.183881936,3.111985656,0,0,0,0,5.897490723,0,0,0,0,0,3.111985656,3.021917658,0,0.778695996,0,3.111985656,0,0,3.021917658,0,0,0.778695996
BANP,3.372364904,0,0,1.224603307,1.426217169,0.793432976,1.946147735,3.672480447,0,2.353440872,1.946147735,1.726332711,2.353440872,1.726332711,1.224603307,0.793432976,2.650820476,1.726332711,1.224603307,1.426217169,1.426217169,1.726332711,4.573091017,4.299588608,4.16579788,6.323300923,4.299588608,1.426217169,1.224603307,0.793432976
BAP1,0,1.451467892,0,1.453242721,0,2.635717055,0,0,2.291140802,0,2.291140802,0,4.698663655,0,1.453242721,1.182474334,1.451467892,3.744383522,0,0,0,0,1.182474334,2.291140802,1.182474334,0,0,1.793953043,0,2.635717055
BASP1,8.487255639,5.963370325,6.589949495,6.57555994,7.303171121,5.499497345,0.952409493,1.883208162,4.364110009,8.920408531,4.263176182,4.629373634,8.827430191,3.304908417,8.211948826,6.331248187,8.477290713,3.878017187,3.56176313,3.609799964,3.222112547,7.963202497,3.791441912,1.732019974,9.384014445,4.68009734,2.922493386,4.423672205,5.784456499,7.016696338
BATF,1.572888443,2.437616039,5.941420754,0,3.503804715,1.372582481,0,2.437616039,2.109581509,1.572888443,1.372582481,4.547197549,0,1.572888443,0,1.930916272,3.015007943,2.437616039,0,1.084091671,5.124589453,0,4.368532311,1.930916272,3.503804715,1.372582481,1.084091671,1.930916272,3.482163991,1.930916272
BAX,1.426217169,0,0,4.706269476,1.426217169,2.635717055,0,2.337320517,5.896859413,0,0,2.109581509,3.83139211,2.337320517,7.043589994,1.182474334,2.650820476,1.453242721,2.674560693,1.426217169,3.535798678,1.449957386,4.058648889,0,4.058648889,2.650820476,2.028423449,5.791961135,4.784142203,2.635717055
BAZ1A,3.475350049,2.138020876,4.456624566,1.224603307,5.495154317,5.924159897,1.791134954,6.035617791,8.10412115,8.19710655,1.995004067,3.953109987,1.883208162,6.513198029,3.561923824,5.771184106,4.581736748,0,4.557768856,3.951925462,7.286289271,4.111861545,6.69029899,1.930916272,7.332799121,6.694957423,0,7.832474834,4.669564761,6.885489781
BAZ1B,2.18684517,5.388359728,0,5.932416409,0,8.253899466,3.139254663,5.914843568,4.758829257,5.496336483,4.11441585,5.266670741,5.436576074,6.488921388,9.389939396,4.610170627,7.8665389,5.103505164,7.637420626,4.336133755,2.149288585,6.612044189,5.067044159,2.353440872,3.66601278,6.824370441,6.070710586,2.838658945,10.1802144,3.025371693
BAZ2A,1.946147735,2.116051051,0,1.678554968,0,5.193848632,4.230512341,3.295999647,3.734321992,2.284364606,1.946147735,1.349851911,2.116051051,2.284364606,4.632446629,5.193848632,1.678554968,2.953891661,3.128512354,0,2.284364606,1.449957386,2.243390362,1.946147735,4.189538097,3.624702703,1.946147735,0,3.128512354,3.077797581
BAZ2B,5.862712989,3.82534945,3.232902534,5.898115374,9.571621092,4.321733471,6.83197159,0,5.653786785,3.745464818,2.790815682,1.971556899,4.999281021,1.732019974,9.847274505,7.674117334,8.46598198,0,5.294077149,6.925509073,4.316994205,5.717484814,4.563347993,5.345951579,5.934931253,6.671946827,2.922493386,3.724869315,12.82777938,3.892086603
BBIP1,2.72820343,2.190486118,1.301986261,1.678554968,1.426217169,2.190486118,1.301986261,0,0,2.190486118,4.870451326,2.190486118,0,0,1.678554968,0,5.295258255,2.679965207,3.869041086,1.426217169,2.72820343,2.080682258,1.426217169,0,1.426217169,5.784737344,0,1.426217169,3.869041086,0.778695996
BBS2,2.04913288,0,0,2.365427684,2.365427684,0,0,0,2.365427684,0,0,0,0,0,0,2.04913288,0,0,0,0,0,0,0,0,0,2.04913288,0,0,0,0
BBX,6.659512243,12.25116995,7.64796619,4.689554252,7.062879024,5.815963926,8.729599429,7.258579939,4.05433811,10.05646129,0,9.070868366,12.29167777,3.97737316,7.604046379,11.39074658,4.950365293,4.645091255,6.584162011,9.75978978,7.039710278,9.037683981,9.289601686,9.437944173,3.380873659,2.983644424,1.567981129,5.835782737,11.38342099,5.244309126
BCAP29,0,2.183881936,0,2.405652213,0,4.690021293,5.420656035,3.076184622,2.284364606,3.236774098,0.952413967,3.076184622,1.453242721,4.010697317,2.405652213,2.284364606,1.084091671,3.179575432,0,1.084091671,3.368456277,1.726332711,0,0,0.952409493,3.631156171,1.084091671,0,0.952413967,3.737607326
BCAP31,5.069807449,0,5.069807449,4.869417788,4.107365962,5.730206197,3.27354316,2.057983752,2.109581509,2.04938221,2.876343699,5.799577387,1.926375502,5.705331915,3.150978809,0.793432976,2.308694978,5.908288986,1.224603307,3.05564857,4.495659442,6.242276101,2.851416728,1.732019974,2.842815185,2.177017274,3.142075423,0,9.914105388,5.602114565
BCAS2,6.293795861,0,3.768679862,1.718438978,0,0,2.050240884,0,0,0,0,1.718438978,5.102134321,0,0,0,1.084091671,0,0,3.60920767,3.134332555,4.547375859,0,0,0,0,3.60920767,2.577018323,0,2.497134975
BCAT1,4.098004441,1.202427021,4.045300288,4.670187082,2.775315464,3.838144075,4.464752899,1.883208162,0,6.65086468,0,1.202427021,8.147218211,1.572888443,4.670187082,3.654886179,1.224603307,1.453242721,3.107811469,2.525115998,1.202427021,1.883208162,3.065682496,0,4.747703831,3.216944361,2.525115998,3.48807835,1.224603307,2.635717055
BCCIP,3.815389862,5.242929295,3.815389862,3.253026756,5.309792982,5.376461823,1.766007652,2.057983752,0,3.25180923,0,1.202427021,4.040502274,3.781402183,3.253026756,2.116051051,3.14905453,2.057983752,1.224603307,0,2.968434673,4.6026874,2.057983752,1.732019974,2.04938221,1.224603307,4.086407201,3.230850469,2.956623281,0.778695996
BCKDK,1.572888443,1.451467892,1.572888443,3.412025788,1.572888443,2.825825202,0,0,0,3.467393549,1.372582481,0,2.904710612,3.467393549,3.412025788,0,3.410250959,1.453242721,1.958783068,0,0,1.418887747,0,0,1.572888443,3.331365549,0,0,3.331365549,4.766635574
BCL10,2.202993519,5.147685106,2.202993519,6.636305103,4.520583209,2.44868573,0,2.337320517,6.652608358,1.655252754,0,6.049744662,1.924451223,2.337320517,2.337320517,0.793432976,5.683930741,0,3.017938515,2.191498389,1.655252754,4.816818014,2.243390362,0,2.243390362,0,1.567981129,6.18407166,1.449957386,4.160293604
BCL11B,0,7.113494218,2.840140046,0,0,3.981621072,3.762691852,4.9230081,1.791134954,3.981621072,2.190486118,9.778124264,0,3.874003008,0,1.791134954,4.966427319,2.840140046,2.190486118,4.7474981,1.791134954,0,4.9230081,0,0,0,0,2.775941201,4.162043017,1.791134954
BCL2,2.202993519,0,8.029388906,2.202993519,0,1.995004067,3.264537626,0,0,0,4.419778534,2.202993519,0,0,2.56185776,5.826395387,2.424774467,2.424774467,0,0,0,6.046655733,0,0,2.424774467,1.995004067,2.56185776,0,1.995004067,6.183739026
BCL2A1,8.250407059,5.00126306,9.934196821,6.972395588,7.250957689,8.015125526,7.342092885,9.682958179,13.78343537,8.919020298,11.73375662,9.114171985,7.310267185,12.1306204,5.051108529,9.317536425,7.473548684,7.799853718,4.949858276,2.149288585,11.4549172,13.16470798,7.503769002,8.161994363,6.835316614,5.40380741,6.714784608,7.69196268,3.061995476,10.02772604
BCL2L1,0,0,0,0.952409493,0,0,0.952409493,0,0,0.952409493,0,0,0,0,0.952409493,0,1.084091671,0,0,1.084091671,1.084091671,0.778695996,0,0,0.952409493,0.952409493,1.084091671,0,0,0.778695996
BCL2L11,0,1.935500116,0,0,1.935500116,3.843733865,2.187078796,7.095050889,1.972355909,4.628644559,4.397130375,4.150327766,2.693144443,2.21482765,0,3.880589658,4.218738003,4.639602117,2.693144443,3.981042332,5.70181956,10.08379846,4.601378192,1.972355909,4.333008216,2.21482765,3.981042332,1.935500116,0,2.686929746
BCL2L13,3.82710226,3.223233883,1.301986261,1.567981129,1.655252754,1.655252754,3.489065058,2.187078796,0,1.655252754,0,1.655252754,2.525115998,0,0,0,3.361944664,0,1.567981129,6.506158331,4.751202551,1.301986261,0,0,0,0,8.074139459,1.655252754,0,0
BCL3,2.874608311,4.077035332,0,5.160221137,2.885442354,3.449102717,0,2.337320517,2.337320517,4.077035332,0,1.202427021,4.237250015,2.337320517,10.37214997,3.668041287,2.762646639,1.453242721,3.361570301,2.767107005,2.286518692,0,0.793432976,1.683015333,0.793432976,1.678554968,3.11251512,8.352178281,4.553163279,2.246675696
BCL6,1.301986261,0,1.301986261,1.453242721,1.838401715,1.453242721,1.301986261,0,1.838401715,0,1.838401715,0,1.453242721,0,1.453242721,0,1.838401715,1.453242721,0,0,1.301986261,1.301986261,0,0,0,0,1.838401715,0,0,1.453242721
BCL7B,0,6.44043859,0,3.680087547,2.057983752,5.329676788,0.952409493,4.140851806,0,0.952409493,1.641800555,0,1.629892482,4.810546108,0.952409493,1.629892482,0,2.057983752,2.727678054,0,0,3.476871499,4.140851806,0,3.680087547,2.594210048,2.057983752,0,1.641800555,4.146565801
BCL7C,2.202993519,0,2.202993519,2.202993519,0,2.584567929,1.791134954,0,1.791134954,1.791134954,0,2.202993519,0,3.523154927,0,2.584567929,0,0,0,0,1.791134954,2.202993519,0.793432976,1.732019974,0.793432976,0,0,0,1.732019974,4.787561449
BCL9L,2.373881558,2.373881558,0,0,2.057983752,3.010397719,0,2.057983752,0,2.373881558,0.952413967,0,0,0,2.373881558,2.373881558,0,2.057983752,0,0,0,2.057983752,2.057983752,0,0,0.952413967,2.057983752,0,3.326295525,0
BCLAF1,6.001985702,6.654364276,6.800277258,6.393116732,2.057983752,11.35817567,12.76199688,3.407835663,4.204534917,7.903893844,0.952413967,1.349851911,10.59780047,4.178869712,8.798132218,13.97793772,5.088501606,3.511226472,5.488461063,3.707056024,5.570583112,9.094873994,7.125027911,2.353440872,4.085186547,7.784578584,10.83718068,2.28565133,6.284032755,10.15127028
